iter	Passed	Remaining
695	57249	107259
696	57328	107171
697	57419	107106
698	57486	106996
699	57574	106924
700	57660	106848
701	57750	106781
702	57819	106674
703	57911	106610
704	58005	106549
705	58078	106449
706	58167	106379
707	58256	106310
708	58342	106234
709	58436	106173
710	58524	106101
711	58611	106027
712	58701	105959
713	58765	105843
714	58855	105774
715	58938	105694
716	59029	105627
717	59118	105556
718	59185	105446
719	59276	105380
720	59366	105311
721	59447	105226
722	59537	105158
723	59626	105086
724	59718	105022
725	59805	104948
726	59894	104877
727	59993	104824
728	60083	104753
729	60149	104644
730	60239	104575
731	60327	104501
732	60412	104423
733	60493	104339
734	60581	104266
735	60669	104193
736	60740	104091
737	60808	103984
738	60895	103909
739	60961	103799
740	61022	103680
741	61113	103612
742	61202	103541
743	61293	103474
744	61359	103363
745	61425	103254
746	61495	103151
747	61582	103076
748	61649	102968
749	61736	102893
750	61828	102828
751	61915	102753
752	61984	102648
753	62077	102584
754	62168	102516
755	62254	102439
756	62335	102355
757	62402	102248
758	62469	102139
759	62558	102069
760	62652	102005
761	62740	101933
